n_sensors,CAAF,KE,Min RMS,Min CN,EI (Max DET),Combined Score
5,4.147463282574262,7.292817913745113,1.0820001956933731,1.0449363656769415,1.5197647294382923,1.0456854343058977
6,2.994516515889708,3.1117312431812354,1.564137231143221,1.0164875797303965,1.8772724935260718,1.0164875797303965
7,2.101376092948909,3.0136478187589244,1.564205211399584,1.0115608462322823,1.8164977395620678,1.0150066729342373
8,1.8611488557830527,2.3315203920578575,1.2386702093179633,1.0089276744706146,1.5407217139224008,1.0089276744706146
9,1.5723473537062314,2.1120607591598466,1.1062547115666859,1.008688597100495,1.7134058148823972,1.0259012825337737
10,1.5509582272666207,1.8331693662746835,1.2772660556947784,1.0087510478864226,1.6820798186697778,1.0103600856145771
11,1.437734223147033,1.7964894310524697,1.27470125834743,1.0053024741662517,1.5151345314701907,1.0206872811528396
12,1.3756120675465446,1.8523769653275277,1.2747587567287437,1.00322103097523,1.4575898534806666,1.032399011472933
13,1.3470572176535005,1.633446640319322,1.1847835045774548,1.002587734614936,1.3574226590557485,1.028548706805349
14,1.357322944099255,1.5727769005320584,1.284675664771601,1.0024580067044002,1.428555756610861,1.047547984805472
15,1.2224492217924634,1.4808029922676293,1.2844172226269683,1.0036572042214198,1.3912213656316827,1.049225158713799
16,1.189951813506285,1.4692072257720572,1.0519893649986751,1.0033103259295149,1.326502242407187,1.0114449009534983
17,1.2132796703160256,1.3568784336261441,1.0518887838264839,1.0032610565389017,1.2722182559537403,1.0339315339187878
18,1.2912015761807814,1.314805876539994,1.1992091528302948,1.0036124205192996,1.276893878833373,1.16554687423367
19,1.267692623726634,1.3306396599681258,1.2242980510335975,1.0032471000858623,1.2522767609721772,1.1341161978729468
