n_sensors,CAAF,KE,Min RMS,Min CN,EI (Max DET),Combined Score
5,57506.450937631904,22923.948875703507,88437.26556406081,98386.32045558486,193765.44466940121,90709.22697382067
6,129397.31049595858,156262.6611424602,190892.2197322744,104628.23978773491,343463.1099980168,104628.23978773491
7,293732.5354947522,287789.4965821394,190990.94391219883,129327.47601020354,509213.40078950825,131720.8541541072
8,434557.0658404681,550980.8463713148,276433.41821993515,261708.87616226912,751452.4003048363,261708.87616226912
9,647890.2238596037,839616.4381726019,326172.98628271313,382762.62677571404,999448.5550769267,405205.75776043296
10,822024.6897224799,1213552.6009012824,513710.7687466115,382930.6096148392,1320763.7458933804,634802.9811570409
11,1072770.2951484553,1579824.0259575062,500345.20629910287,962315.247407597,1739021.3178164347,889543.5194346345
12,1416893.5055841052,1821509.6524444814,500531.97684779787,966464.6504897391,2128865.820061627,1328730.0849880225
13,1674786.780944971,2405067.380966541,753707.0881893282,922469.7035873403,2604278.798342826,1648102.7337859345
14,1953506.7738968336,2923065.8759112246,1251497.686481258,922772.9774358361,3086419.0407080483,2208226.6397794303
15,2436716.004434659,3537650.131287541,1252006.0717914342,1655876.3966787453,3648956.2370236237,2527273.980635799
16,2860075.7354157227,4117998.090678541,1883904.0397949037,1418211.8017279492,4298575.662973935,2821470.7294433387
17,3213215.160705618,4864368.7429469675,1884412.176273224,1418615.5777830807,4903057.1400205325,3522054.4872998595
18,3812960.266115155,5548022.350098293,3531062.9346048427,2617460.97433029,5548352.128822196,5245782.232784493
19,3956366.2368771015,6160946.948707199,3055157.032118228,2625512.6579628293,6265413.307441272,5909583.799563533
