n_sensors,CAAF,KE,Min RMS,Min CN,EI (Max DET),Combined Score
5,0.3008547662215095,0.7149177433437096,0.00017814482101982784,0.014914692544954778,0.029562156270502085,0.0005776053543360213
6,0.21549001124274103,0.5642508382300734,1.1211269842122025e-06,0.00010991295311630496,0.11210500904932118,0.00010991295311630496
7,0.13931066735942374,0.4252504359234524,1.1006337754105697e-06,0.001369318986155841,0.08473802528605785,0.00018522681430666507
8,0.07947221183414879,0.27593076939266914,3.9598603779565904e-06,0.00015149807117072526,0.02523539440658879,0.00015149807117072526
9,0.03558345193371242,0.20520252799122413,1.1444306201378761e-06,0.008515925257540784,0.08939134972458193,6.799109096037307e-05
10,0.03903617571138316,0.1345225522509029,4.795179227269077e-07,0.008515694527223219,0.06901471602454884,5.619389147610838e-05
11,0.016217244543332753,0.10427699009273904,5.083196323235796e-07,0.010665083449328861,0.03647586285771066,0.00017602439762927393
12,0.00526862557812335,0.11871283429371829,2.653844215154885e-07,0.010752876567782794,0.02701312465462024,0.00038946035735343683
13,0.005829379068091116,0.07797119678849024,3.486284123694081e-07,0.011467369252087398,0.011794534332010572,0.00018200389148120114
14,0.008986820278577529,0.06030630088992299,1.572202110349635e-07,0.011481366883650326,0.02937465872883944,0.0002314846086696008
15,0.008785285169540562,0.04179862115613242,1.8965892869764351e-07,0.0007127263535301999,0.025297815607882957,0.00015196947320328272
16,0.03308733094866304,0.03432102714685315,2.0083022741835173e-07,0.006152015366281773,0.012661620240326705,0.0001109853606619404
17,0.044883450160364435,0.019854997614305595,2.0080101597412196e-07,0.006189058024993633,0.00860348431630482,0.00024166454603834239
18,0.011813636060117419,0.01564442370688508,2.447541339792059e-07,0.00010843181440016897,0.012122968893629479,0.0004253392414503923
19,0.011134759810243023,0.01674208546346864,2.0998645129686385e-07,8.132750545940907e-05,0.009018719500337368,4.34762962724781e-05
